Id,Code,Description,Service,Workset,Wall,Structural,Bearing
22704525,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22705591,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BB,No,Non-bearing
22705892,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22705894,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22706693,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22707059,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Glazing Wall Interior_INT.7.01,No,Non-bearing
22707068,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Glazing Wall Interior_INT.7.01,No,Non-bearing
22707083,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Glazing Wall Interior_INT.7.01,No,Non-bearing
22710696,,PLASTBOARD,Fire,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22711956,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22713458,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BB,No,Non-bearing
22714167,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BB,No,Non-bearing
22717806,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22717995,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22718169,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22718211,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22719025,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22719033,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22719111,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22719188,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
